ticket,type,comment,entry_time,exit_time,entry_price,exit_price,pnl,reason
16,BUY,STACK,2026-01-21 16:52:00,2026-01-21 17:03:00,4824.848999999999,4818.887000000001,-5.961999999998625,STACK_TRAIL_KILL
17,BUY,STACK,2026-01-21 17:05:00,2026-01-21 18:58:00,4825.045999999999,4848.8060000000005,23.760000000001128,STACK_TP
18,BUY,STACK,2026-01-21 18:58:00,2026-01-21 19:27:00,4849.106,4818.935,-30.170999999999367,STACK_SL
19,BUY,STACK,2026-01-21 19:29:00,2026-01-21 19:35:00,4816.129,4786.656,-29.472999999999956,STACK_SL
20,BUY,STACK,2026-01-21 19:37:00,2026-01-21 19:44:00,4777.615,4765.738,-11.876999999999498,STACK_TRAIL_KILL
21,BUY,STACK,2026-01-21 19:46:00,2026-01-21 20:14:00,4766.755999999999,4787.052000000001,20.296000000001186,STACK_TP
22,BUY,STACK,2026-01-21 20:14:00,2026-01-21 20:31:00,4787.352,4810.8330000000005,23.481000000000677,STACK_TP
23,BUY,STACK,2026-01-21 20:31:00,2026-01-21 21:19:00,4811.133,4831.711,20.57800000000043,STACK_TP
24,BUY,STACK,2026-01-21 21:19:00,2026-01-21 23:09:00,4832.0109999999995,4803.082,-28.928999999999178,STACK_SL
25,BUY,STACK,2026-01-21 23:11:00,2026-01-21 23:58:00,4807.19,4780.892000000001,-26.297999999998865,STACK_SL
26,BUY,STACK,2026-01-22 00:00:00,2026-01-22 01:01:00,4785.986,4781.72,-4.265999999999622,STACK_TRAIL_KILL
27,BUY,STACK,2026-01-22 01:03:00,2026-01-22 01:17:00,4774.5289999999995,4795.293000000001,20.764000000001033,STACK_TP
28,BUY,STACK,2026-01-22 01:17:00,2026-01-22 02:01:00,4795.593,4791.761,-3.831999999999425,STACK_TRAIL_KILL
29,BUY,STACK,2026-01-22 02:03:00,2026-01-22 05:51:00,4793.192,4815.202,22.01000000000022,STACK_TP
30,BUY,STACK,2026-01-22 05:51:00,2026-01-22 07:16:00,4815.5019999999995,4835.508000000001,20.006000000001222,STACK_TP
31,BUY,STACK,2026-01-22 07:16:00,2026-01-22 15:00:00,4835.808,4829.4580000000005,-6.349999999999454,STACK_TRAIL_KILL
32,BUY,STACK,2026-01-22 15:02:00,2026-01-22 15:31:00,4837.105,4858.848,21.743000000000393,STACK_TP
33,BUY,STACK,2026-01-22 15:31:00,2026-01-22 16:37:00,4859.147999999999,4881.231000000001,22.083000000001448,STACK_TP
34,BUY,STACK,2026-01-22 16:37:00,2026-01-22 17:49:00,4881.531,4903.394,21.863000000000284,STACK_TP
