type,price,time,formation_time,validation_time,idx,validation_idx,strength,touches,validated,bayesian_probability,kde_density,composite_score,mtf_confluence,aligned_timeframes,num_timeframes
demand,1.06775,2024-04-24 12:00:00,2024-04-24 12:00:00,2024-04-29 16:00:00,178,198,0.004851322875204835,12,True,0.1,0.9999910204966717,0.09072724945611432,0.0,[16388],1
demand,1.0678,2024-04-25 12:00:00,2024-04-25 12:00:00,2024-04-30 16:00:00,184,204,0.004804270462633317,10,True,0.1,0.9999910204966717,0.09072019159422859,0.0,[16388],1
demand,1.03818,2025-01-29 12:00:00,2025-01-29 12:00:00,2025-02-03 16:00:00,1408,1428,0.004748694831339342,15,True,0.1,0.9999910204966717,0.09071185524953448,0.0,[16388],1
supply,1.13896,2025-05-30 00:00:00,2025-05-30 00:00:00,2025-06-04 04:00:00,1944,1964,0.004600688347264093,8,True,0.1,0.9999910204966717,0.0906896542769232,0.0,[16388],1
demand,1.05061,2024-11-20 16:00:00,2024-11-20 16:00:00,2024-11-25 20:00:00,1109,1129,0.004426000133255959,6,True,0.1,0.9999910204966717,0.09066345104482199,0.0,[16388],1
demand,1.06734,2024-04-26 12:00:00,2024-04-26 12:00:00,2024-05-01 16:00:00,190,210,0.004422208480896488,7,True,0.1,0.9999910204966717,0.09066288229696806,0.0,[16388],1
supply,1.14387,2025-06-09 08:00:00,2025-06-09 08:00:00,2025-06-12 16:00:00,1984,2004,0.004108858524132923,10,True,0.1,0.9999910204966717,0.09061587980345354,0.0,[16388],1
demand,1.08541,2024-06-05 16:00:00,2024-06-05 16:00:00,2024-06-10 20:00:00,365,385,0.0040353414838632876,4,True,0.1,0.9999910204966717,0.09060485224741308,0.0,[16388],1
demand,1.04743,2024-12-16 12:00:00,2024-12-16 12:00:00,2024-12-19 20:00:00,1220,1240,0.0040098144983435466,3,True,0.1,0.9999910204966717,0.09060102319958513,0.0,[16388],1
demand,1.08403,2024-05-27 12:00:00,2024-05-27 12:00:00,2024-05-30 20:00:00,321,341,0.004003579236737,12,True,0.1,0.9999910204966717,0.09060008791034414,0.0,[16388],1
supply,1.06774,2024-04-19 12:00:00,2024-04-19 12:00:00,2024-04-24 16:00:00,159,179,0.003980369752935982,8,True,0.1,0.9999910204966717,0.09059660648777398,0.0,[16388],1
demand,1.02726,2025-01-08 08:00:00,2025-01-08 08:00:00,2025-01-13 12:00:00,1314,1334,0.00392305745380914,12,True,0.1,0.9999910204966717,0.09058800964290496,0.0,[16388],1
supply,1.0882,2024-05-31 12:00:00,2024-05-31 12:00:00,2024-06-05 16:00:00,345,365,0.0039055320713105007,15,True,0.1,0.9999910204966717,0.09058538083553017,0.0,[16388],1
demand,1.03713,2024-12-30 12:00:00,2024-12-30 12:00:00,2025-01-03 16:00:00,1277,1297,0.0038471551300222127,5,True,0.1,0.9999910204966717,0.09057662429433692,0.0,[16388],1
demand,1.0820400000000001,2024-04-08 08:00:00,2024-04-08 08:00:00,2024-04-11 16:00:00,103,123,0.0037706554286346724,2,True,0.1,0.9999910204966717,0.09056514933912879,0.0,[16388],1
demand,1.08144,2025-03-20 12:00:00,2025-03-20 12:00:00,2025-03-25 16:00:00,1631,1651,0.003560068057405063,15,True,0.1,0.9999910204966717,0.09053356123344436,0.0,[16388],1
demand,1.03523,2025-02-06 12:00:00,2025-02-06 12:00:00,2025-02-11 16:00:00,1445,1465,0.0035161268510378032,5,True,0.1,0.9999910204966717,0.09052697005248926,0.0,[16388],1
demand,1.04797,2024-12-11 12:00:00,2024-12-11 12:00:00,2024-12-16 16:00:00,1201,1221,0.0034733818716183337,15,True,0.1,0.9999910204966717,0.09052055830557634,0.0,[16388],1
supply,1.08995,2024-07-11 12:00:00,2024-07-11 12:00:00,2024-07-16 16:00:00,525,545,0.0032203312078534817,28,True,0.1,0.9999910204966717,0.0904826007060116,0.0,[16388],1
supply,1.09447,2024-08-08 04:00:00,2024-08-08 04:00:00,2024-08-13 08:00:00,647,667,0.0029694738092409796,7,True,0.1,0.9999910204966717,0.09044497209621974,0.0,[16388],1
supply,1.08163,2024-07-03 12:00:00,2024-07-03 12:00:00,2024-07-08 16:00:00,488,508,0.002958497822730593,10,True,0.1,0.9999910204966717,0.09044332569824318,0.0,[16388],1
supply,1.07322,2024-05-01 16:00:00,2024-05-01 16:00:00,2024-05-06 20:00:00,210,230,0.002823279476715015,8,True,0.1,0.9999910204966717,0.09042304294634085,0.0,[16388],1
demand,1.0802100000000001,2024-07-29 12:00:00,2024-07-29 12:00:00,2024-08-01 20:00:00,600,620,0.002795752677719888,10,True,0.1,0.9999910204966717,0.09041891392649157,0.0,[16388],1
supply,1.14474,2025-06-10 12:00:00,2025-06-10 12:00:00,2025-06-13 20:00:00,1991,2011,0.0027691877631602956,5,True,0.1,0.9999910204966717,0.09041492918930763,0.0,[16388],1
supply,1.08272,2024-10-28 12:00:00,2024-10-28 12:00:00,2024-10-31 20:00:00,1003,1023,0.0027615634697796534,10,True,0.1,0.9999910204966717,0.09041378554530054,0.0,[16388],1
supply,1.07138,2024-04-24 00:00:00,2024-04-24 00:00:00,2024-04-29 04:00:00,175,195,0.0026694543485972153,16,True,0.1,0.9999910204966717,0.09039996917712317,0.0,[16388],1
demand,1.08753,2024-07-19 16:00:00,2024-07-19 16:00:00,2024-07-24 20:00:00,563,583,0.0021148841871028554,10,True,0.1,0.9999910204966717,0.09031678365289902,0.0,[16388],1
