time,open,high,low,close,tick_volume,spread,real_volume,is_near_supply,is_near_demand,distance_to_nearest_supply,distance_to_nearest_demand
2025-12-10 08:30:00,1.16496,1.16572,1.16472,1.16553,635,8,0,1,1,0.0004289893868027138,0.00023165426887338162
2025-12-10 08:45:00,1.16554,1.16573,1.16515,1.16521,551,8,0,1,1,0.0007037358072794113,4.291071995595941e-05
2025-12-10 09:00:00,1.16523,1.16528,1.16428,1.16431,619,8,0,1,1,0.00015459800225012837,0.0002834296707920927
2025-12-10 09:15:00,1.16431,1.16437,1.16365,1.16408,568,8,0,1,1,2.5771424644332428e-05,0.00048106659336118987
2025-12-10 09:30:00,1.1641,1.1643,1.16387,1.16395,477,8,0,1,1,8.591434339962111e-05,0.0005928089694573283
2025-12-10 09:45:00,1.16395,1.16421,1.16353,1.1636,510,8,0,1,1,0.00038673083533865714,0.00031797868683394764
2025-12-10 10:00:00,1.1635900000000001,1.16372,1.16324,1.16372,449,8,0,1,1,0.0002835733681641129,0.00042106348606202646
2025-12-10 10:15:00,1.16373,1.16393,1.16353,1.1636199999999999,451,8,0,1,1,0.0003695364466064115,0.0003351609632009509
2025-12-10 10:30:00,1.16363,1.16365,1.16297,1.16306,539,8,0,1,1,0.00030952831324258074,0.0001289701305176624
2025-12-10 10:45:00,1.16306,1.16354,1.16273,1.16341,656,8,0,1,1,0.0005501070130048512,0.00015471759740768
2025-12-10 11:00:00,1.1634,1.1635900000000001,1.16307,1.16321,583,8,0,1,1,0.00043844189785164365,1.719379991567213e-05
2025-12-10 11:15:00,1.16321,1.1638,1.16318,1.16351,446,8,0,1,1,0.00046411289976019536,0.00024065113320904675
2025-12-10 11:30:00,1.16351,1.16351,1.16313,1.16348,339,8,0,1,1,0.0004899095815999926,0.00021487262350885575
2025-12-10 11:45:00,1.16345,1.16355,1.16297,1.16346,427,8,0,1,1,0.0005071081085727833,0.00019768621181643758
2025-12-10 12:00:00,1.16348,1.16367,1.16332,1.1636,354,8,0,1,1,0.00038673083533865714,0.00031797868683394764
2025-12-10 12:15:00,1.16361,1.16381,1.16326,1.16376,369,8,0,1,1,0.0002491922733210658,0.00045542036158651225
2025-12-10 12:30:00,1.16377,1.16403,1.16372,1.164,355,8,0,1,1,4.295532646057175e-05,0.0005498281786941357
2025-12-10 12:45:00,1.164,1.16418,1.16376,1.16391,458,8,0,1,1,0.00012028421441522883,0.0005842376128738596
2025-12-10 13:00:00,1.16391,1.16416,1.16311,1.16329,700,8,0,1,1,0.0005071822159563552,5.157785247010546e-05
2025-12-10 13:15:00,1.1633,1.16351,1.16272,1.16341,582,8,0,1,1,0.0005501070130048512,0.00015471759740768
2025-12-10 13:30:00,1.16344,1.16368,1.16321,1.16349,691,8,0,1,1,0.0004813105398414391,0.00022346560778341626
2025-12-10 13:45:00,1.16349,1.16417,1.16346,1.16397,707,8,0,1,1,6.873029373616159e-05,0.0005756162100397334
2025-12-10 14:00:00,1.16395,1.16441,1.16364,1.1639,896,8,0,1,1,0.0001288770512931476,0.0005756508291089857
2025-12-10 14:15:00,1.16392,1.16432,1.1633499999999999,1.16352,703,8,0,1,1,0.00045551430143007373,0.00024924367436754283
2025-12-10 14:30:00,1.16352,1.16398,1.16337,1.16371,659,8,0,1,1,0.00029216901117976724,0.00041247389813616446
2025-12-10 14:45:00,1.16373,1.16446,1.1635900000000001,1.16429,891,8,0,1,1,0.00013742280703255886,0.0003006123903837106
2025-12-10 15:00:00,1.16428,1.16509,1.16428,1.1645699999999999,770,8,0,1,1,0.00037782185699423304,6.0108022703671314e-05
2025-12-10 15:15:00,1.16458,1.1646,1.16393,1.16398,582,8,0,1,1,6.013849035208036e-05,0.0005670200518908254
2025-12-10 15:30:00,1.16395,1.16425,1.16364,1.16387,677,8,0,1,1,0.00015465644788513236,0.0005498895924802374
2025-12-10 15:45:00,1.16385,1.16419,1.16343,1.16415,781,8,0,1,1,1.7179916677325927e-05,0.0004209079585962972
2025-12-10 16:00:00,1.16412,1.16454,1.16369,1.16444,598,8,0,1,1,0.0002662223901616317,0.00017175638074952594
2025-12-10 16:15:00,1.16442,1.16493,1.16431,1.16465,487,8,0,1,1,0.0004464860687759017,8.586270553441388e-06
