Time,Type,Entry,Exit,PnL
2025-10-01 01:20:00,BUY_SL,114243.571,113980.95646428571,-263.81453571428136
2025-10-01 05:30:00,BUY_SL,114434.405,114248.69846428571,-186.90653571428555
2025-10-01 09:50:00,BUY_SL,114346.658,114179.60760714285,-168.25039285714155
2025-10-03 01:40:00,BUY_SL,120270.0,120067.99585714286,-203.20414285714213
2025-10-04 17:45:00,BUY_SL,122215.739,122108.83260714286,-108.10639285714133
2025-10-06 15:15:00,BUY_TP,123483.75,124526.75528571429,1041.8052857142873
2025-10-06 19:55:00,BUY_TP,124445.121,125379.39942857143,933.0784285714296
2025-10-07 00:35:00,SELL_SL,124535.718,124762.61314285714,-228.0951428571454
2025-10-07 04:20:00,SELL_TP,124868.526,124394.31792857143,473.0080714285694
2025-10-07 19:20:00,SELL_TP,121999.497,120907.39414285716,1090.9028571428469
2025-10-08 07:15:00,SELL_SL,121180.635,121422.60149999999,-243.16649999999498
2025-10-08 14:40:00,BUY_SL,122970.018,122734.09746428572,-237.12053571427822
2025-10-08 18:45:00,BUY_SL,122495.714,121933.40310714286,-563.5108928571456
2025-10-08 22:15:00,BUY_SL,123461.138,123151.77917857144,-310.55882142857007
2025-10-09 03:30:00,BUY_SL,123011.638,122770.9897857143,-241.84821428571303
2025-10-10 03:00:00,BUY_TP,121347.525,121649.03442857144,300.309428571444
2025-10-10 03:45:00,BUY_SL,121696.659,121550.52910714285,-147.32989285714865
2025-10-10 05:00:00,BUY_SL,121484.172,121323.94564285714,-161.42635714286297
2025-10-12 05:50:00,SELL_TP,110417.455,109576.28114285714,839.9738571428577
2025-10-12 23:00:00,BUY_TP,113576.515,114330.736,753.021000000005
2025-10-14 02:00:00,BUY_SL,115477.058,115346.82842857143,-131.42957142857193
2025-10-14 16:15:00,SELL_TP,111376.702,110311.51385714287,1063.988142857136
2025-10-14 21:10:00,BUY_TP,112039.353,113263.25442857144,1222.7014285714365
2025-10-15 04:00:00,BUY_SL,112872.583,112589.97121428572,-283.8117857142817
2025-10-15 11:20:00,BUY_TP,112449.803,113003.3915,552.388499999998
2025-10-15 13:40:00,BUY_SL,112329.555,112022.9642142857,-307.79078571428835
2025-10-15 21:20:00,SELL_SL,110655.316,111257.29160714286,-603.1756071428565
2025-10-16 03:35:00,BUY_SL,110704.305,110285.56189285713,-419.9431071428582
2025-10-16 16:10:00,BUY_SL,111391.691,111084.16346428571,-308.7275357142964
2025-10-17 05:10:00,BUY_SL,108645.276,108399.14228571428,-247.3337142857228
2025-10-17 08:35:00,BUY_SL,108736.957,108544.94532142856,-193.21167857143445
2025-10-18 16:35:00,BUY_SL,106948.822,106771.12439285715,-178.89760714285075
