time,open,high,low,close,tick_volume,spread,real_volume,is_near_supply,is_near_demand,distance_to_nearest_supply,distance_to_nearest_demand,bayesian_probability,composite_zone_score,high_prob_zone
2025-12-12 00:15:00,1.17434,1.17442,1.17422,1.1743000000000001,280,8,0,1,0,4.257855743856383e-05,0.001294388146129769,0.99,0.7473043160209429,1
2025-12-12 00:30:00,1.17429,1.17439,1.17411,1.17428,296,8,0,1,0,2.5547569574526084e-05,0.0012773784787274388,0.99,0.7473043160209429,1
2025-12-12 00:45:00,1.17429,1.17441,1.17386,1.17402,427,8,0,1,0,0.00016183710669316745,0.0010562000647349533,0.99,0.7479942141944069,1
2025-12-12 01:00:00,1.17402,1.17414,1.17376,1.1740599999999999,397,8,0,1,0,0.00012776178389528177,0.0010902338892390066,0.99,0.7479942141944069,1
2025-12-12 01:15:00,1.1740599999999999,1.17459,1.1740599999999999,1.17453,326,8,0,1,0,0.0001787949222240568,0.0014899576852018597,0.99,0.7464277181952659,1
2025-12-12 01:30:00,1.17453,1.17454,1.17363,1.17366,348,8,0,1,0,5.964248589882462e-05,0.0007497912512993473,0.99,0.7474406991857608,1
2025-12-12 01:45:00,1.17364,1.17377,1.17322,1.17346,359,8,0,1,0,0.00011078349496358077,0.000579482896732751,0.99,0.7474406991857608,1
2025-12-12 02:00:00,1.17346,1.17364,1.1731,1.17361,425,8,0,1,0,1.704143625235898e-05,0.0007072196044683569,0.99,0.7474406991857608,1
2025-12-12 02:15:00,1.17361,1.17362,1.17328,1.1733,297,8,0,0,0,0.00023864314327116506,0.0004431944089321367,0.99,0.0,0
2025-12-12 02:30:00,1.1733,1.17374,1.17325,1.17363,260,8,0,1,0,3.408229169332754e-05,0.0007242486984825008,0.99,0.7474406991857608,1
2025-12-12 02:45:00,1.17363,1.17363,1.1734499999999999,1.17357,235,8,0,1,0,1.7042017093065587e-05,0.0006731596751792126,0.99,0.7474406991857608,1
2025-12-12 03:00:00,1.17357,1.17358,1.17329,1.17343,210,8,0,1,0,0.00013635240278494498,0.0005539316363140873,0.99,0.7474406991857608,1
2025-12-12 03:15:00,1.17343,1.17372,1.1734,1.17358,186,8,0,1,0,8.520935939470224e-06,0.0006816748751684025,0.99,0.7474406991857608,1
2025-12-12 03:30:00,1.17359,1.17367,1.1734499999999999,1.1735,159,8,0,1,0,7.669365146989644e-05,0.0006135492117597392,0.99,0.7474406991857608,1
2025-12-12 03:45:00,1.1735,1.17367,1.17338,1.17339,169,8,0,1,0,0.0001704463136723323,0.0005198612567006702,0.99,0.7474406991857608,1
2025-12-12 04:00:00,1.17339,1.17343,1.17315,1.17316,172,8,0,1,0,0.00011933581097210014,0.00032391148692424476,0.99,0.7465937230933395,1
2025-12-12 04:15:00,1.17316,1.17348,1.1731,1.17342,202,8,0,1,0,0.00014487566259310688,0.000545414259174016,0.99,0.7474406991857608,1
2025-12-12 04:30:00,1.17342,1.17352,1.17331,1.17341,226,8,0,1,0,0.0001533990676744249,0.0005368967368610548,0.99,0.7474406991857608,1
2025-12-12 04:45:00,1.17341,1.17353,1.17313,1.17316,213,8,0,1,0,0.00011933581097210014,0.00032391148692424476,0.99,0.7465937230933395,1
2025-12-12 05:00:00,1.17316,1.1734,1.17314,1.17339,225,8,0,1,0,0.0001704463136723323,0.0005198612567006702,0.99,0.7474406991857608,1
2025-12-12 05:15:00,1.17339,1.17355,1.17333,1.17338,156,8,0,1,0,0.00017897015459597182,0.0005113432988462015,0.99,0.7474406991857608,1
2025-12-12 05:30:00,1.17337,1.17371,1.17337,1.17363,208,8,0,1,0,3.408229169332754e-05,0.0007242486984825008,0.99,0.7474406991857608,1
2025-12-12 05:45:00,1.17361,1.1739,1.17356,1.17384,244,8,0,0,0,0.00021297621481640043,0.0009030191508212882,0.99,0.0,0
2025-12-12 06:00:00,1.17384,1.17414,1.1736900000000001,1.17404,319,8,0,1,0,0.00014479915505434524,0.0010732172668733934,0.99,0.7479942141944069,1
2025-12-12 06:15:00,1.17405,1.17405,1.17368,1.17381,284,8,0,1,0,0.00018742385905735085,0.0008774844310408724,0.99,0.7474406991857608,1
2025-12-12 06:30:00,1.1738,1.17386,1.1733500000000001,1.17358,300,8,0,1,0,8.520935939470224e-06,0.0006816748751684025,0.99,0.7474406991857608,1
2025-12-12 06:45:00,1.17358,1.1739,1.17347,1.17385,332,8,0,0,0,0.00022149337649627208,0.0009115304340419358,0.99,0.0,0
2025-12-12 07:00:00,1.17382,1.17402,1.17353,1.17386,551,8,0,0,0,0.00023001039306219862,0.0009200415722487945,0.99,0.0,0
2025-12-12 07:15:00,1.17386,1.17395,1.17355,1.17388,420,8,0,0,0,0.0002470439908679963,0.0009370634136369142,0.99,0.0,0
2025-12-12 07:30:00,1.1739,1.1743000000000001,1.1738,1.17395,458,8,0,0,0,0.00022147450913576126,0.000996635291111304,0.99,0.0,0
2025-12-12 07:45:00,1.17393,1.17412,1.17362,1.17376,473,8,0,1,0,0.00014483369683751662,0.0008349236641221212,0.99,0.7474406991857608,1
2025-12-12 08:00:00,1.17377,1.1742,1.17349,1.17365,764,8,0,1,0,5.112256635297663e-05,0.0007412772121161746,0.99,0.7474406991857608,1
2025-12-12 08:15:00,1.17362,1.17418,1.17354,1.17388,618,8,0,0,0,0.0002470439908679963,0.0009370634136369142,0.99,0.0,0
2025-12-12 08:30:00,1.17388,1.17399,1.17353,1.17368,617,8,0,1,0,7.668188944187983e-05,0.0007668188944176631,0.99,0.7474406991857608,1
2025-12-12 08:45:00,1.17367,1.17371,1.17278,1.17278,606,8,0,1,1,0.00017906171660502694,0.0,0.99,0.7471142295148,1
2025-12-12 09:00:00,1.17276,1.1732,1.17266,1.17318,579,8,0,1,0,0.00013638145894060417,0.000340953647351605,0.99,0.7465937230933395,1
2025-12-12 09:15:00,1.1732,1.1732,1.17287,1.17297,391,8,0,1,1,1.7050734460309283e-05,0.00016198197737379003,0.99,0.7471142295148,1
2025-12-12 09:30:00,1.17296,1.17321,1.17278,1.17304,458,8,0,1,0,1.7049716974809915e-05,0.00022164632067120388,0.99,0.7465937230933395,1
2025-12-12 09:45:00,1.17304,1.1734499999999999,1.17295,1.17325,477,8,0,1,0,0.00019603665033023863,0.00040059663328358873,0.99,0.7465937230933395,1
2025-12-12 10:00:00,1.17325,1.17325,1.17296,1.17305,430,8,0,1,0,2.557435744424747e-05,0.0002301692169984165,0.99,0.7465937230933395,1
2025-12-12 10:15:00,1.17306,1.1733,1.17253,1.17256,456,8,0,0,1,0.00036671897386908166,0.00018762366104923154,0.99,0.7463099569277062,1
2025-12-12 10:30:00,1.17254,1.17277,1.17248,1.17251,356,8,0,0,0,0.0004093781716147717,0.00023027522153328542,0.99,0.0,0
2025-12-12 10:45:00,1.17249,1.17273,1.17241,1.17272,396,8,0,0,1,0.00023023398594719326,5.116310798822309e-05,0.99,0.7463099569277062,1
2025-12-12 11:00:00,1.17272,1.17286,1.17258,1.17259,371,8,0,0,1,0.00034112520147703456,0.0001620344707015346,0.99,0.7463099569277062,1
2025-12-12 11:15:00,1.17258,1.17289,1.1722299999999999,1.17231,364,8,0,0,0,0.0005629910177341172,0.00029002567580248143,0.99,0.0,0
2025-12-12 11:30:00,1.17231,1.17243,1.17221,1.17241,276,8,0,0,0,0.0004947074828771718,0.0003155892563181664,0.99,0.0,0
2025-12-12 11:45:00,1.17241,1.17286,1.17241,1.17265,364,8,0,0,1,0.00028994158529826205,0.00011086001790812559,0.99,0.7463099569277062,1
2025-12-12 12:00:00,1.17265,1.17278,1.17216,1.17228,510,8,0,0,0,0.0005374142696283383,0.00026444194219813735,0.99,0.0,0
2025-12-12 12:15:00,1.17228,1.17257,1.17219,1.17229,341,8,0,0,0,0.0005459399977820965,0.00027296999889114295,0.99,0.0,0
2025-12-12 12:30:00,1.17232,1.1724,1.17198,1.17202,348,8,0,0,1,0.00031569427142879935,4.2661388031011e-05,0.99,0.7465637960765799,1
