entry_time,exit_time,direction,entry_price,exit_price,pnl,exit_reason,bars_in_trade,month
2025-12-01 07:45:00,2025-12-01 08:00:00,SELL,1.16066,1.16116,-0.49999999999994493,SL,1,2025-12
2025-12-03 06:15:00,2025-12-03 07:00:00,SELL,1.16461,1.1651099999999999,-0.49999999999994493,SL,3,2025-12
2025-12-03 07:15:00,2025-12-03 08:00:00,SELL,1.16464,1.16384,0.7999999999999119,TP,3,2025-12
2025-12-05 16:00:00,2025-12-05 17:30:00,BUY,1.16318,1.16398,0.7999999999999119,TP,6,2025-12
2025-12-05 16:15:00,2025-12-05 17:45:00,BUY,1.16339,1.1641899999999998,0.7999999999999119,TP,6,2025-12
2025-12-05 16:30:00,2025-12-05 18:00:00,BUY,1.16358,1.16438,0.7999999999999119,TP,6,2025-12
2025-12-05 16:45:00,2025-12-05 17:45:00,BUY,1.1634,1.1642,0.7999999999999119,TP,4,2025-12
2025-12-08 00:30:00,2025-12-08 03:00:00,SELL,1.16494,1.16544,-0.49999999999994493,SL,10,2025-12
2025-12-08 15:00:00,2025-12-08 15:15:00,BUY,1.16302,1.16252,-0.49999999999994493,SL,1,2025-12
2025-12-09 01:45:00,2025-12-09 07:15:00,SELL,1.16467,1.1638700000000002,0.7999999999999119,TP,22,2025-12
2025-12-09 02:00:00,2025-12-09 08:00:00,SELL,1.16456,1.1637600000000001,0.7999999999999119,TP,24,2025-12
2025-12-09 02:15:00,2025-12-09 08:00:00,SELL,1.16458,1.16378,0.7999999999999119,TP,23,2025-12
2025-12-09 03:00:00,2025-12-09 07:15:00,SELL,1.16459,1.16379,0.7999999999999119,TP,17,2025-12
2025-12-09 03:15:00,2025-12-09 07:15:00,SELL,1.16459,1.16379,0.7999999999999119,TP,16,2025-12
2025-12-09 04:45:00,2025-12-09 07:15:00,SELL,1.16462,1.16382,0.7999999999999119,TP,10,2025-12
2025-12-09 05:15:00,2025-12-09 07:00:00,SELL,1.16489,1.16409,0.7999999999999119,TP,7,2025-12
2025-12-09 05:30:00,2025-12-09 07:15:00,SELL,1.16478,1.16398,0.7999999999999119,TP,7,2025-12
2025-12-09 05:45:00,2025-12-09 07:00:00,SELL,1.1648399999999999,1.16404,0.7999999999999119,TP,5,2025-12
2025-12-09 14:15:00,2025-12-09 15:00:00,BUY,1.1631,1.1626,-0.49999999999994493,SL,3,2025-12
2025-12-10 07:45:00,2025-12-10 08:30:00,SELL,1.16476,1.16526,-0.49999999999994493,SL,3,2025-12
2025-12-10 08:00:00,2025-12-10 08:15:00,SELL,1.16449,1.16499,-0.49999999999994493,SL,1,2025-12
2025-12-10 15:00:00,2025-12-10 15:30:00,SELL,1.1645699999999999,1.16377,0.7999999999999119,TP,2,2025-12
2025-12-10 16:15:00,2025-12-10 17:15:00,SELL,1.16465,1.16515,-0.49999999999994493,SL,4,2025-12
2025-12-10 16:45:00,2025-12-10 17:15:00,SELL,1.16495,1.1654499999999999,-0.49999999999994493,SL,2,2025-12
2025-12-10 20:15:00,2025-12-10 23:15:00,SELL,1.16938,1.16988,-0.49999999999994493,SL,12,2025-12
2025-12-12 08:45:00,2025-12-12 11:15:00,BUY,1.17278,1.17228,-0.49999999999994493,SL,10,2025-12
2025-12-12 10:45:00,2025-12-12 11:30:00,BUY,1.17272,1.17222,-0.49999999999994493,SL,3,2025-12
2025-12-12 17:30:00,2025-12-12 19:00:00,SELL,1.17476,1.1739600000000001,0.7999999999999119,TP,6,2025-12
2025-12-12 17:45:00,2025-12-12 19:00:00,SELL,1.17471,1.17391,0.7999999999999119,TP,5,2025-12
2025-12-12 18:00:00,2025-12-12 19:00:00,SELL,1.17459,1.1737900000000001,0.7999999999999119,TP,4,2025-12
2025-12-12 18:15:00,2025-12-12 19:00:00,SELL,1.17475,1.17395,0.7999999999999119,TP,3,2025-12
2025-12-12 18:30:00,2025-12-12 19:00:00,SELL,1.17461,1.17381,0.7999999999999119,TP,2,2025-12
2025-12-15 00:15:00,2025-12-15 01:30:00,BUY,1.17285,1.1736499999999999,0.7999999999999119,TP,5,2025-12
2025-12-15 00:30:00,2025-12-15 01:30:00,BUY,1.17302,1.1738199999999999,0.7999999999999119,TP,4,2025-12
2025-12-15 07:45:00,2025-12-15 08:30:00,BUY,1.17281,1.1736099999999998,0.7999999999999119,TP,3,2025-12
2025-12-15 11:15:00,2025-12-15 12:00:00,SELL,1.1746699999999999,1.1751699999999998,-0.49999999999994493,SL,3,2025-12
2025-12-15 11:30:00,2025-12-15 12:15:00,SELL,1.17481,1.1753099999999999,-0.49999999999994493,SL,3,2025-12
2025-12-15 11:45:00,2025-12-15 12:15:00,SELL,1.17484,1.17534,-0.49999999999994493,SL,2,2025-12
2025-12-17 04:15:00,2025-12-17 05:30:00,BUY,1.173,1.1725,-0.49999999999994493,SL,5,2025-12
2025-12-17 04:30:00,2025-12-17 06:00:00,BUY,1.17291,1.17241,-0.49999999999994493,SL,6,2025-12
2025-12-17 04:45:00,2025-12-17 06:00:00,BUY,1.17294,1.1724400000000001,-0.49999999999994493,SL,5,2025-12
2025-12-18 05:45:00,2025-12-18 07:45:00,SELL,1.1745700000000001,1.1737700000000002,0.7999999999999119,TP,8,2025-12
2025-12-18 08:30:00,2025-12-18 09:00:00,BUY,1.1732,1.1727,-0.49999999999994493,SL,2,2025-12
2025-12-18 08:45:00,2025-12-18 09:00:00,BUY,1.17318,1.17268,-0.49999999999994493,SL,1,2025-12
2025-12-18 13:45:00,2025-12-18 14:00:00,SELL,1.17465,1.17515,-0.49999999999994493,SL,1,2025-12
2025-12-22 13:00:00,2025-12-22 14:15:00,SELL,1.17493,1.17543,-0.49999999999994493,SL,5,2025-12
2025-12-22 13:15:00,2025-12-22 13:30:00,SELL,1.17466,1.17516,-0.49999999999994493,SL,1,2025-12
2025-12-24 02:00:00,2025-12-24 02:45:00,SELL,1.1807,1.1799000000000002,0.7999999999999119,TP,3,2025-12
2025-12-31 07:15:00,2025-12-31 08:00:00,BUY,1.17313,1.17393,0.7999999999999119,TP,3,2025-12
2025-12-31 08:15:00,2025-12-31 08:45:00,BUY,1.17291,1.17241,-0.49999999999994493,SL,2,2025-12
2025-12-31 08:30:00,2025-12-31 08:45:00,BUY,1.1729,1.1724,-0.49999999999994493,SL,1,2025-12
